tweet,confidence,agreement,score_tag,subjectivity,irony,joy,anger,fear,sadness,surprise,class
i remember in 7th grade we used to fight the 8th graders at recess . dem were the days man lol,100,AGREEMENT,P,SUBJECTIVE,NONIRONIC,0.0459112972021,0.128418907523,0.11391761899,0.703583717346,0.0081684505567,-1
You cannot perform in a manner inconsistent with the way you see yourself. - Zig Ziglar,92,AGREEMENT,P,OBJECTIVE,NONIRONIC,0.145717263222,0.544435143471,0.112558908761,0.190533265471,0.00675541395321,-1
@bpadthai Follow me!,None,None,None,None,None,0.328578174114,0.180778950453,0.155428975821,0.174078911543,0.161134973168,-1
@TayaPYT thanx babe .. Xoxo .. See u in a second,100,AGREEMENT,NONE,OBJECTIVE,NONIRONIC,0.250956237316,0.0252195931971,0.137543827295,0.147974967957,0.438305437565,-1
best taste in music,100,AGREEMENT,P,SUBJECTIVE,NONIRONIC,0.441897779703,0.0647040307522,0.0585910603404,0.068614192307,0.366192936897,-1
RT @KarlJCompton: I feel like a banshee today with my hair ugh,100,AGREEMENT,N,OBJECTIVE,NONIRONIC,0.0610888749361,0.403741300106,0.222065657377,0.305842161179,0.00726199056953,-1
What do we live for if it is not to make life less difficult for each other? - George Eliot,92,AGREEMENT,P,OBJECTIVE,NONIRONIC,0.0441430732608,0.404687553644,0.164106413722,0.333978265524,0.0530846752226,-1
@T_H_O_D Aim for the moon. If you miss you may hit a star. William Clement Stone,94,DISAGREEMENT,N,SUBJECTIVE,NONIRONIC,0.235255464911,0.0352933779359,0.089630164206,0.466511428356,0.173309594393,-1
Venezuela beauty queens protest: While Venezuela beauty queens aid the opposition the president sings a song called Plastic. CNN's...,94,DISAGREEMENT,NEU,OBJECTIVE,NONIRONIC,0.267413198948,0.163229480386,0.180396184325,0.294009387493,0.094951748848,-1
RT @ProFootballHOF: Board of Trustees approves master plan to develop a “Hall of Fame Village. Details: http://t.co/umDSXYAWm6 http://t.co…,100,AGREEMENT,P,OBJECTIVE,NONIRONIC,0.124870464206,0.104612752795,0.327299416065,0.430630028248,0.0125873545185,-1
@Prinnysparkles Music should strike fire from the heart of man and bring tears from the eyes of woman. - Ludwig van Beethoven,100,AGREEMENT,N,OBJECTIVE,NONIRONIC,0.302421241999,0.0949639976025,0.197782307863,0.370571494102,0.0342609956861,-1
@prachtlamas Danke das werde ich bestimmt in nächster Zeit mal tun. Schönen Abend! :),None,None,None,None,None,0.67785012722,0.0161316469312,0.057529386133,0.0228157117963,0.225673109293,-1
@valdarcala please follow me,100,AGREEMENT,NONE,OBJECTIVE,NONIRONIC,0.150348544121,0.213766515255,0.234109207988,0.336531162262,0.0652446001768,-1
@cydneypoppins2 Now is the time. Needs are great but your possibilities are greater. - Bill Blackman,100,AGREEMENT,P+,OBJECTIVE,NONIRONIC,0.172958806157,0.26786378026,0.323388636112,0.229213148355,0.00657561700791,-1
@biebertherapper We make a living by what we get we make a life by what we give. - Winston Churchill,100,AGREEMENT,NONE,OBJECTIVE,NONIRONIC,0.169557720423,0.160358861089,0.167545244098,0.433746695518,0.0687914788723,-1
Ended the day in a and note fukk you,100,AGREEMENT,NONE,OBJECTIVE,NONIRONIC,0.199085786939,0.0957996100187,0.105401627719,0.194644153118,0.405068814754,-1
RT @Metro_TV: Gerald Pangkali: Kita Kembali kepada Kinerja Wasit   http://t.co/Dtr7jIpBor,None,None,None,None,None,0.0817492976785,0.112634509802,0.239824593067,0.528189837933,0.0376017466187,-1
Why do people act like LeBron was the first person to do the powder toss?,100,AGREEMENT,NONE,OBJECTIVE,NONIRONIC,0.010253588669,0.56117016077,0.10295201838,0.275817543268,0.0498066619039,-1
A leader has the vision and conviction that a dream can be achieved. He inspires the power and energy to get it done. - Ralph Lauren,100,AGREEMENT,P,OBJECTIVE,NONIRONIC,0.380073189735,0.124745301902,0.30389291048,0.182119175792,0.00916943605989,-1
@ngxinyyu Nothing not even sheer ability can make up for the dedication required for a successful business career. - Ray Eppert,92,AGREEMENT,N+,SUBJECTIVE,NONIRONIC,0.240911409259,0.157383024693,0.18760445714,0.231602758169,0.182498306036,-1
@NJoshuaDart very cool,100,AGREEMENT,P,SUBJECTIVE,NONIRONIC,0.209311634302,0.171301528811,0.1525952667,0.1440064013,0.322785198689,-1
